index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
1,Al2SeTe+GaAlTe2-2,1.82,Indirect,4.027,0.0295,0.2334,0.3923,0.1384,5,-3.72892,-5.54942,-3.6783317,-5.4988317
2,Al2SeTe+Ga2SSe,1.289,Direct,3.827,0.6131,0.0233,0.0004,0.5664,2,-3.9074757,-5.1961757,-4.2123476,-5.5010476
3,Al2SeTe+SGaAlSe-1,1.275,Indirect,3.815,0.3118,0.0077,0.0004,0.568,2,-3.2933701,-4.5683701,-4.1729915,-5.4479915
4,Al2SeTe+InGaTe2,1.7,Indirect,4.082,0.2316,0.1341,0.6816,0,5,-3.7806302,-5.4804302,-3.7606984,-5.4604984
5,Al2SeTe+SGaAlTe-1,1.513,Direct,3.904,0.5665,0.0188,0.0005,0.5555,2,-3.2766095,-4.7900095,-4.3158302,-5.8292302
6,Al2SeTe+SInGaTe-2,2.009,Indirect,3.98,0.0935,0.2101,0.3705,0.2097,6,-3.9535457,-5.9626457,-3.8618506,-5.8709506
7,Al2SeTe+InGaSe2,1.797,Indirect,3.929,0.5696,0.0467,0.2721,0.2811,5,-4.2106421,-6.0077421,-4.0320852,-5.8291852
8,Al2SeTe+SeInAlTe-2,1.913,Indirect,4.009,0.0247,0.2369,0.3887,0.1524,5,-4.477206,-6.390506,-3.4570343,-5.3703343
9,Al2SeTe+SInAlTe-2,2.031,Indirect,3.973,0.0251,0.2378,0.3936,0.1547,5,-4.0953119,-6.1260119,-3.9689882,-5.9996882
10,Al2SeTe+Ga2STe,1.533,Direct,3.909,0.6095,0.019,0.0007,0.5545,2,-3.6721962,-5.2054962,-4.3255869,-5.8588869
11,Al2SeTe+GaAlTe2-3,1.877,Indirect,4.027,0.0892,0.1983,0.2816,0.2302,6,-3.3046479,-5.1814479,-3.5218152,-5.3986152
12,Al2SeTe+SeInGaTe-2,1.899,Indirect,4.014,0.1116,0.2011,0.3826,0.1925,6,-3.8628354,-5.7614354,-3.792408,-5.691008
13,Al2SeTe+GaAlSe2,2.072,Indirect,3.858,0.1014,0.1649,0.0004,0.562,5,-4.0068675,-6.0787675,-3.5661364,-5.6380364
14,Al2SeTe+TeInGaSe-2,1.148,Direct,4.008,0.5624,0.0526,0.69,0,1,-4.0739794,-5.2218794,-4.0127321,-5.1606321
15,Al2SeTe+SGaAlTe-2,2.009,Indirect,3.903,0.022,0.2423,0.4728,0.0772,2,-4.5361392,-6.5452392,-3.4003307,-5.4094307
16,Al2SeTe+InGaS2,1.241,Direct,3.85,0.5983,0.0321,0.0005,0.5631,2,-4.6076453,-5.8485453,-4.3631053,-5.6040053
17,Al2SeTe+InGaSe2-2,1.814,Direct,3.934,0.5644,0.051,0.3327,0.2292,5,-4.0493644,-5.8638644,-4.0090294,-5.8235294
18,Al2SeTe+GaAlSe2-2,2.066,Indirect,3.857,0.0026,0.1794,0,0.5626,1,-4.1080802,-6.1741802,-3.4016311,-5.4677311
19,Al2SeTe+Ga2SSe-3,1.649,Direct,3.827,0.601,0.041,0,0.5669,2,-4.1531717,-5.8018717,-3.687101,-5.335801
20,Al2SeTe+Ga2SSe-2,1.369,Direct,3.826,0.6159,0.022,0,0.567,2,-3.9032164,-5.2725164,-3.9651841,-5.3344841
21,Al2SeTe+Ga2SeTe-3,1.929,Indirect,3.952,0.1115,0.2028,0.4595,0.1473,6,-3.993346,-5.922546,-3.4675362,-5.3967362
22,Al2SeTe+SeInGaS,1.296,Direct,3.886,0.5919,0.0337,0.0005,0.558,2,-4.4285479,-5.7244479,-4.4640334,-5.7599334
23,Al2SeTe+SeGaAlTe-3,1.976,Indirect,3.947,0.3063,0.0587,0.2456,0.2621,5,-3.3726429,-5.3488429,-3.4252096,-5.4014096
24,Al2SeTe+TeGaAlSe,1.829,Indirect,3.937,0.1268,0.1462,0.6766,0,5,-3.6986787,-5.5272787,-3.6270585,-5.4556585
25,Al2SeTe+GaAlSe2-3,1.826,Indirect,3.861,0.2872,0.017,0,0.5621,2,-3.2821449,-5.1076449,-3.6525565,-5.4780565
26,Al2SeTe+SeGaAlTe-2,1.924,Indirect,3.947,0.0213,0.241,0.4567,0.0912,2,-4.2873003,-6.2111003,-3.4213712,-5.3451712
27,Al2SeTe+TeGaAlSe-2,1.759,Indirect,3.94,0.0557,0.2095,0.6763,0,5,-3.7756575,-5.5349575,-3.4327802,-5.1920802
28,Al2SeTe+Ga2SeTe,1.854,Indirect,3.953,0.586,0.035,0.2737,0.2762,5,-3.512295,-5.366395,-3.9383803,-5.7924803
29,Al2SeTe+SInGaSe-2,1.873,Direct,3.895,0.5666,0.054,0,0.5575,2,-4.0968077,-5.9698077,-4.0328312,-5.9058312
30,Al2SeTe+InAlTe2,1.462,Indirect,4.079,0.0344,0.2205,0.6803,0,2,-3.8665952,-5.3285952,-3.8292062,-5.2912062
31,Al2SeTe+SeGaAlS-3,1.527,Indirect,3.811,0.2571,0.0044,0,0.5692,2,-3.399504,-4.926904,-3.7380076,-5.2654076
32,Al2SeTe+GaAlTe2,1.92,Indirect,4.023,0.0239,0.2302,0.3792,0.149,5,-3.8080932,-5.7275932,-3.6253219,-5.5448219
33,Al2SeTe+SeInGaTe-3,2.004,Indirect,4.017,0.3795,0.0846,0.2651,0.281,5,-3.4490106,-5.4535106,-3.4806181,-5.4851181
34,Al2SeTe+In2SeTe-2,1.815,Direct,4.077,0.3205,0.2086,0.6825,0,5,-3.6526306,-5.4673306,-3.7282888,-5.5429888
35,Al2SeTe+InAlTe2-2,1.293,Indirect,4.078,0.0328,0.2301,0.6807,0,2,-4.1715745,-5.4647745,-3.5035184,-4.7967184
36,Al2SeTe+Ga2SeTe-2,1.886,Direct,3.955,0.5813,0.04,0.3199,0.2365,5,-3.5156181,-5.4020181,-3.6778575,-5.5642575
37,Al2SeTe+TeInAlSe-2,1.133,Indirect,3.989,0.1156,0.1639,0.6898,0,5,-3.7847784,-4.9177784,-3.7284698,-4.8614698
38,Al2SeTe+SeGaAlTe-1,1.935,Indirect,3.945,0.3456,0.0322,0.1771,0.3201,5,-3.1313739,-5.0661739,-3.9194004,-5.8542004
39,Al2SeTe+SGaAlSe-2,1.814,Indirect,3.814,0.0023,0.1799,0,0.5688,1,-4.4404714,-6.2549714,-3.4623764,-5.2768764
40,Al2SeTe+InGaTe2-2,1.58,Indirect,4.086,0.1662,0.1733,0.6811,0,5,-3.9101225,-5.4899225,-3.5921183,-5.1719183
41,InAlS2+SeInGaTe-3,2.085,Indirect,3.917,0.086,0.4299,0.1296,0.4903,5,-3.9401533,-6.0254533,-4.1181721,-6.2034721
