,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
1,Al2SeTe+InGaTe2-2,0.841,Indirect,4.086,0.1822,0.1662,0.6811,0,5,-0.05252159,,
2,Al2SeTe+SeGaAlS,1.028,Indirect,3.809,0.2033,0.0508,0.0002,0.5691,2,-0.03935002,,
3,Al2SeTe+InGaTe2-3,1.006,Indirect,4.083,0.2689,0.1295,0.6805,0.0008,5,-0.05291591,,
4,Al2SeTe+SeGaAlS-1,0.648,Indirect,3.81,0.2542,0.0055,0.0009,0.5686,2,-0.0631711,,
5,Al2SeTe+SeGaAlS-2,1.114,Indirect,3.811,0.0017,0.1803,0,0.5693,1,-0.02775832,,
6,Al2SeTe+SeGaAlS-3,0.748,Indirect,3.811,0.2554,0.0031,0,0.5693,2,-0.04901698,,
7,Al2SeTe+SeGaAlTe,1.358,Indirect,3.944,0.0168,0.2393,0.434,0.1123,5,-0.2152719,,
8,Al2SeTe+SeGaAlTe-1,1.182,Indirect,3.945,0.5548,0.0355,0.1805,0.3176,5,-0.21394679,,
9,Al2SeTe+SeGaAlTe-2,1.233,Indirect,3.947,0.0242,0.241,0.4537,0.0935,2,-0.20391992,,
10,Al2SeTe+SeGaAlTe-3,1.234,Indirect,3.947,0.5481,0.0422,0.2251,0.2864,5,-0.20341291,,
11,Al2SeTe+SeInAlS,1.204,Indirect,3.869,0.2321,0.041,0.0003,0.5605,2,-0.15044558,,
12,Al2SeTe+SeInAlS-1,0.655,Direct,3.872,0.4475,0.0345,0.0036,0.5582,2,-0.18268877,,
13,Al2SeTe+SeInAlS-2,1.32,Indirect,3.871,0.2073,0.0647,0,0.5607,5,-0.14003307,,
14,Al2SeTe+SeInAlS-3,0.719,Direct,3.87,0.4419,0.038,0,0.5608,2,-0.1677282,,
15,Al2SeTe+SeInAlTe,1.358,Indirect,4.005,0.0225,0.2325,0.3791,0.1726,5,-0.17273436,,
16,Al2SeTe+SeInAlTe-1,1.248,Indirect,4.009,0.3137,0.0181,0.0985,0.3897,5,-0.18152127,,
17,Al2SeTe+SeInAlTe-2,1.232,Indirect,4.009,0.0248,0.2384,0.4022,0.1525,5,-0.1635953,,
18,Al2SeTe+SeInAlTe-3,1.339,Indirect,4.013,0.2785,0.0501,0.1408,0.3614,5,-0.17048069,,
19,Al2SeTe+SeInGaS,0.504,Direct,3.886,0.5916,0.0338,0.0005,0.558,2,-0.18498637,,
20,Al2SeTe+SeInGaS-1,0.631,Direct,3.886,0.5882,0.0511,0.0041,0.5559,2,-0.20542097,,
21,Al2SeTe+SeInGaS-2,0.571,Direct,3.891,0.5954,0.0318,0,0.558,2,-0.17326653,,
22,Al2SeTe+SeInGaS-3,0.69,Direct,3.891,0.581,0.0542,0,0.558,2,-0.19051013,,
23,Al2SeTe+SeInGaTe,1.359,Indirect,4.013,0.1218,0.1881,0.3534,0.2274,6,-0.17588801,,
24,Al2SeTe+SeInGaTe-1,1.282,Indirect,4.013,0.494,0.0387,0.1563,0.3607,5,-0.17766846,,
25,Al2SeTe+SeInGaTe-2,1.236,Indirect,4.014,0.1152,0.2009,0.369,0.2154,6,-0.16514505,,
26,Al2SeTe+SeInGaTe-3,1.276,Indirect,4.017,0.3711,0.0908,0.2144,0.3247,5,-0.16713473,,
27,Al2SeTe+Al2SeTe,1.418,Indirect,3.933,0.2009,0.0504,0.1928,0.2723,6,-0.20277818,,
28,Al2SeTe+Al2SeTe-1,1.429,Indirect,3.936,0.1475,0.1023,0.2263,0.2464,6,-0.19352998,,
29,Al2SeTe+Al2SeTe-2,1.492,Indirect,3.934,0.1217,0.127,0.2423,0.2243,6,-0.21444614,,
30,Al2SeTe+Al2SSe,0.73,Indirect,3.801,0.2115,0.0129,0.0002,0.5702,2,-0.01134365,,
31,Al2SeTe+Al2SSe-1,0.775,Indirect,3.799,0.2129,0.0126,0.0004,0.5704,2,-0.02589933,,
32,Al2SeTe+Al2SSe-2,0.84,Indirect,3.799,0.2148,0.0094,0,0.571,2,0.00018219,,
33,Al2SeTe+Al2SSe-3,0.892,Indirect,3.8,0.2164,0.0076,0,0.5708,2,-0.01340514,,
34,Al2SeTe+Al2STe,1.136,Indirect,3.887,0.2121,0.021,0.0004,0.5579,2,-0.16812633,,
35,Al2SeTe+Al2STe-1,1.291,Indirect,3.887,0.2151,0.0181,0.3253,0.235,5,-0.19515519,,
36,Al2SeTe+Al2STe-2,1.236,Indirect,3.889,0.2153,0.0175,0,0.5583,2,-0.15848961,,
37,Al2SeTe+Al2STe-3,1.334,Indirect,3.887,0.1326,0.1098,0.5577,0.0005,5,-0.18236571,,
38,Al2SeTe+Ga2SeTe,1.094,Indirect,3.953,0.5856,0.035,0.289,0.2648,5,-0.21541379,,
39,Al2SeTe+SGaAlSe,1.149,Indirect,3.814,0.0037,0.1792,0.0004,0.5683,1,-0.06251729,,
40,Al2SeTe+SGaAlSe-1,0.482,Direct,3.815,0.5678,0.0212,0.0004,0.5681,2,-0.05995039,,
41,Al2SeTe+SGaAlSe-2,1.126,Indirect,3.814,0.0023,0.18,0,0.5689,1,-0.05020292,,
42,Al2SeTe+SGaAlSe-3,0.573,Direct,3.814,0.5683,0.0219,0,0.5688,2,-0.04667948,,
43,Al2SeTe+SGaAlTe,1.424,Indirect,3.901,0.0135,0.2443,0.4566,0.0927,2,-0.20743452,,
44,Al2SeTe+SGaAlTe-2,1.293,Indirect,3.903,0.0253,0.2428,0.4805,0.0724,2,-0.19474311,,
45,Al2SeTe+SInAlSe,1.398,Indirect,3.884,0.1697,0.1136,0.0004,0.5584,5,-0.1782563,,
46,Al2SeTe+SInAlSe-2,1.438,Indirect,3.884,0.0465,0.2191,0,0.559,1,-0.1682758,,
47,Al2SeTe+SInAlTe,1.404,Indirect,3.969,0.0193,0.2364,0.3906,0.1574,5,-0.2031792,,
48,Al2SeTe+SInAlTe-2,1.331,Indirect,3.973,0.0239,0.2408,0.3903,0.1571,5,-0.19126325,,
49,Al2SeTe+SInGaSe,1.008,Direct,3.894,0.5788,0.0444,0.0012,0.5565,2,-0.20321657,,
50,Al2SeTe+SInGaSe-2,1.064,Direct,3.895,0.5665,0.0539,0,0.5574,2,-0.19047387,,
51,Al2SeTe+SInGaTe,1.45,Indirect,3.98,0.0955,0.2022,0.3322,0.2367,6,-0.20847999,,
52,Al2SeTe+SInGaTe-2,1.333,Indirect,3.98,0.0916,0.2128,0.3678,0.2107,6,-0.19674319,,
53,Al2SeTe+TeGaAlS,0.837,Indirect,3.889,0.217,0.0478,0.6845,0,1,-0.17438404,,
54,Al2SeTe+TeGaAlS-2,0.863,Indirect,3.894,0.1735,0.0926,0.6837,0,5,-0.16462444,,
55,Al2SeTe+TeGaAlSe,1.11,Indirect,3.937,0.1268,0.1475,0.6765,0,5,-0.20459543,,
56,Al2SeTe+TeGaAlSe-2,1.036,Indirect,3.94,0.0559,0.2118,0.6763,0,5,-0.19534337,,
57,Al2SeTe+TeInAlS,0.049,Direct,3.938,0.4318,0.0198,0.695,0,1,-0.19278338,,
58,Al2SeTe+TeInAlS-2,0.083,Direct,3.943,0.4367,0.0162,0.6946,0,1,-0.18406029,,
59,Al2SeTe+TeInAlSe,0.408,Direct,3.988,0.3847,0.0664,0.6901,0,1,-0.18141518,,
60,Al2SeTe+TeInAlSe-2,0.416,Indirect,3.989,0.1183,0.1635,0.69,0,5,-0.17316934,,
61,Al2SeTe+TeInGaS,0.048,Direct,3.96,0.5882,0.0351,0.6953,0,1,-0.20409883,,
62,Al2SeTe+TeInGaS-2,0.074,Direct,3.961,0.581,0.042,0.6951,0,1,-0.19436457,,
63,Al2SeTe+TeInGaSe,0.379,Direct,4.001,0.5635,0.0501,0.6909,0,1,-0.18294613,,
64,Al2SeTe+TeInGaSe-2,0.413,Direct,4.008,0.5622,0.0526,0.69,0,1,-0.1748071,,
65,Al2SeTe+SGaAlTe-1,0.672,Direct,3.904,0.5665,0.0188,0.0005,0.5556,2,-0.19266276,,
66,Al2SeTe+SGaAlTe-3,0.764,Direct,3.906,0.5676,0.0193,0,0.5558,2,-0.18177307,,
67,Al2SeTe+SInAlSe-1,0.672,Indirect,3.882,0.3132,0.0036,0.0011,0.5583,2,-0.18764321,,
68,Al2SeTe+SInAlSe-3,0.712,Indirect,3.886,0.3126,0.0021,0,0.5587,2,-0.17502015,,
69,Al2SeTe+SInAlTe-1,1.153,Indirect,3.973,0.3406,0.0122,0.0749,0.3991,2,-0.202364,,
70,Al2SeTe+SInAlTe-3,1.219,Indirect,3.975,0.3385,0.0125,0.0979,0.3845,5,-0.1920936,,
71,Al2SeTe+SInGaSe-1,0.595,Direct,3.899,0.5836,0.0398,0.0008,0.5561,2,-0.20221627,,
72,Al2SeTe+SInGaSe-3,0.675,Direct,3.899,0.5771,0.0452,0,0.5569,2,-0.18863957,,
73,Al2SeTe+SInGaTe-1,1.148,Indirect,3.979,0.5626,0.0512,0.1131,0.381,5,-0.20210112,,
74,Al2SeTe+SInGaTe-3,1.19,Indirect,3.982,0.5571,0.058,0.1489,0.361,5,-0.19192588,,
75,Al2SeTe+TeGaAlS-1,0.966,Indirect,3.89,0.2654,0.0059,0.6673,0.0146,1,-0.20597831,,
76,Al2SeTe+TeGaAlS-3,0.981,Indirect,3.892,0.2675,0.0092,0.6837,0.0003,1,-0.19228469,,
77,Al2SeTe+TeGaAlSe-1,1.315,Indirect,3.938,0.2684,0.0271,0.6576,0.0162,1,-0.22139252,,
78,Al2SeTe+TeGaAlSe-3,1.241,Indirect,3.94,0.0602,0.2217,0.6756,0.0004,5,-0.20926742,,
79,Al2SeTe+TeInAlS-1,0.192,Direct,3.942,0.4303,0.0386,0.691,0.0026,1,-0.23023579,,
80,Al2SeTe+TeInAlS-3,0.183,Direct,3.939,0.4174,0.0483,0.6946,0.0005,1,-0.21507455,,
81,Al2SeTe+TeInAlSe-1,0.514,Direct,3.991,0.4232,0.0359,0.6863,0.0024,1,-0.20364536,,
82,Al2SeTe+TeInAlSe-3,0.516,Direct,3.988,0.3945,0.0609,0.6892,0.0006,1,-0.18966453,,
83,Al2SeTe+TeInGaS-1,0.182,Direct,3.962,0.5824,0.0549,0.6909,0.0024,1,-0.22906381,,
84,Al2SeTe+TeInGaS-3,0.176,Direct,3.96,0.559,0.0693,0.694,0.0005,1,-0.21342995,,
85,Al2SeTe+TeInGaSe-1,0.453,Direct,4.002,0.5725,0.0491,0.6867,0.0027,1,-0.19375742,,
86,Al2SeTe+TeInGaSe-3,0.454,Direct,4.004,0.5404,0.0693,0.6896,0.0006,1,-0.18014918,,
87,Al2SeTe+Ga2SeTe-1,1.285,Indirect,3.952,0.5385,0.0727,0.4266,0.1706,5,-0.22251079,,
88,Al2SeTe+Ga2SeTe-2,1.124,Indirect,3.955,0.5812,0.04,0.3255,0.2423,5,-0.20507315,,
89,Al2SeTe+Ga2SeTe-3,1.25,Indirect,3.952,0.1268,0.1968,0.4583,0.1474,6,-0.21015533,,
90,Al2SeTe+Ga2SSe,0.449,Direct,3.827,0.6131,0.0232,0.0004,0.5664,2,-0.08868573,,
91,Al2SeTe+Ga2SSe-1,0.764,Direct,3.824,0.6084,0.037,0.001,0.5666,2,-0.10125797,,
92,Al2SeTe+Ga2SSe-2,0.527,Direct,3.826,0.6159,0.022,0,0.567,2,-0.07547164,,
93,Al2SeTe+Ga2SSe-3,0.827,Direct,3.827,0.6009,0.041,0,0.5669,2,-0.08723292,,
94,Al2SeTe+Ga2STe,0.716,Direct,3.909,0.6095,0.0191,0.0007,0.5545,2,-0.19928676,,
95,Al2SeTe+Ga2STe-1,1.076,Direct,3.905,0.5816,0.0539,0.666,0.0165,1,-0.21930644,,
96,Al2SeTe+Ga2STe-2,0.792,Direct,3.916,0.6136,0.0171,0,0.5546,2,-0.18812244,,
97,Al2SeTe+Ga2STe-3,1.038,Direct,3.912,0.5339,0.0807,0.6834,0.0004,1,-0.20609637,,
98,Al2SeTe+GaAlS2,0.832,Indirect,3.764,0.2117,0.0429,0.0001,0.5755,2,0.10096537,,
