,Structure,0
1,Al2SeTe+Al2SeTe,-0.14091431
2,Al2SeTe+Al2SeTe-1,-0.12861323
3,Al2SeTe+Al2SeTe-2,-0.15134281
4,Al2SeTe+Al2SSe,0.05693877
5,Al2SeTe+Al2SSe-1,0.02921857
6,Al2SeTe+Al2SSe-2,0.05808204
7,Al2SeTe+Al2SSe-3,0.05251306
8,Al2SeTe+Al2STe,-0.1112549
9,Al2SeTe+Al2STe-1,-0.13374435
10,Al2SeTe+Al2STe-2,-0.09928303
11,Al2SeTe+Al2STe-3,-0.12190647
12,Al2SeTe+Ga2SeTe,-0.14019903
13,Al2SeTe+Ga2SeTe-1,-0.15281805
14,Al2SeTe+Ga2SeTe-2,-0.13209603
15,Al2SeTe+Ga2SeTe-3,-0.14295
16,Al2SeTe+Ga2SSe,-0.026476
17,Al2SeTe+Ga2SSe-1,-0.03544588
18,Al2SeTe+Ga2SSe-2,-0.00517038
19,Al2SeTe+Ga2SSe-3,-0.00884015
20,Al2SeTe+Ga2STe,-0.13264639
21,Al2SeTe+Ga2STe-1,-0.15217354
22,Al2SeTe+Ga2STe-2,-0.11887079
23,Al2SeTe+Ga2STe-3,-0.14095298
24,Al2SeTe+GaAlS2,0.15593341
25,Al2SeTe+GaAlS2-1,0.1522968
26,Al2SeTe+GaAlS2-2,0.16702109
27,Al2SeTe+GaAlS2-3,0.16337591
28,Al2SeTe+GaAlSe2,-0.09090376
29,Al2SeTe+GaAlSe2-1,-0.09543357
30,Al2SeTe+GaAlSe2-2,-0.07746356
31,Al2SeTe+GaAlSe2-3,-0.08234753
32,Al2SeTe+GaAlTe2,-0.08541076
33,Al2SeTe+GaAlTe2-1,-0.08728318
34,Al2SeTe+GaAlTe2-2,-0.07590104
35,Al2SeTe+GaAlTe2-3,-0.07836594
36,Al2SeTe+In2SeTe,-0.01008838
37,Al2SeTe+In2SeTe-1,-0.01591656
38,Al2SeTe+In2SeTe-2,0.0039708
39,Al2SeTe+In2SeTe-3,-0.00378625
40,Al2SeTe+In2SSe,-0.14313655
41,Al2SeTe+In2SSe-1,-0.15325535
42,Al2SeTe+In2SSe-2,-0.12894169
43,Al2SeTe+In2SSe-3,-0.13981885
44,Al2SeTe+In2STe,-0.06540933
45,Al2SeTe+In2STe-1,-0.08101341
46,Al2SeTe+In2STe-2,-0.05081356
47,Al2SeTe+In2STe-3,-0.07052682
48,Al2SeTe+InAlS2,-0.03546585
49,Al2SeTe+InAlS2-1,-0.04245839
50,Al2SeTe+InAlS2-2,-0.02063325
51,Al2SeTe+InAlS2-3,-0.03655522
52,Al2SeTe+InAlSe2,-0.13912644
53,Al2SeTe+InAlSe2-1,-0.1535781
54,Al2SeTe+InAlSe2-2,-0.12715722
55,Al2SeTe+InAlSe2-3,-0.14064539
56,Al2SeTe+InAlTe2,0.00934397
57,Al2SeTe+InAlTe2-1,0.00306822
58,Al2SeTe+InAlTe2-2,0.02018486
59,Al2SeTe+InAlTe2-3,0.00989718
60,Al2SeTe+InGaS2,-0.0725623
61,Al2SeTe+InGaS2-1,-0.08366067
62,Al2SeTe+InGaS2-2,-0.05841366
63,Al2SeTe+InGaS2-3,-0.06944644
64,Al2SeTe+InGaSe2,-0.14843328
65,Al2SeTe+InGaSe2-1,-0.1580985
66,Al2SeTe+InGaSe2-2,-0.13578433
67,Al2SeTe+InGaSe2-3,-0.14427649
68,Al2SeTe+InGaTe2,0.01536983
69,Al2SeTe+InGaTe2-1,0.00762591
70,Al2SeTe+InGaTe2-2,0.02662946
71,Al2SeTe+InGaTe2-3,0.01825106
72,Al2SeTe+SeGaAlS,0.01463113
73,Al2SeTe+SeGaAlS-1,-0.0011223
74,Al2SeTe+SeGaAlS-2,0.03257861
75,Al2SeTe+SeGaAlS-3,0.02460766
76,Al2SeTe+SeGaAlTe,-0.15073242
77,Al2SeTe+SeGaAlTe-1,-0.1452405
78,Al2SeTe+SeGaAlTe-2,-0.13778448
79,Al2SeTe+SeGaAlTe-3,-0.12897478
80,Al2SeTe+SeInAlS,-0.0924822
81,Al2SeTe+SeInAlS-1,-0.11942347
82,Al2SeTe+SeInAlS-2,-0.08086168
83,Al2SeTe+SeInAlS-3,-0.10636898
84,Al2SeTe+SeInAlTe,-0.10252737
85,Al2SeTe+SeInAlTe-1,-0.10906464
86,Al2SeTe+SeInAlTe-2,-0.09433949
87,Al2SeTe+SeInAlTe-3,-0.09461495
88,Al2SeTe+SeInGaS,-0.11833897
89,Al2SeTe+SeInGaS-1,-0.13982501
90,Al2SeTe+SeInGaS-2,-0.10350738
91,Al2SeTe+SeInGaS-3,-0.12644432
92,Al2SeTe+SeInGaTe,-0.10394263
93,Al2SeTe+SeInGaTe-1,-0.10514042
94,Al2SeTe+SeInGaTe-2,-0.09248074
95,Al2SeTe+SeInGaTe-3,-0.09294176
96,Al2SeTe+SGaAlSe,-0.00584998
97,Al2SeTe+SGaAlSe-1,0.00102404
98,Al2SeTe+SGaAlSe-2,0.02076451
99,Al2SeTe+SGaAlSe-3,0.02140406
100,Al2SeTe+SGaAlTe,-0.14453621
101,Al2SeTe+SGaAlTe-1,-0.12575293
102,Al2SeTe+SGaAlTe-2,-0.13337461
103,Al2SeTe+SGaAlTe-3,-0.11344002
104,Al2SeTe+SInAlSe,-0.11609156
105,Al2SeTe+SInAlSe-1,-0.12339972
106,Al2SeTe+SInAlSe-2,-0.104024
107,Al2SeTe+SInAlSe-3,-0.1094876
108,Al2SeTe+SInAlTe,-0.13737486
109,Al2SeTe+SInAlTe-1,-0.13087145
110,Al2SeTe+SInAlTe-2,-0.12755833
111,Al2SeTe+SInAlTe-3,-0.11622004
112,Al2SeTe+SInGaSe,-0.13067304
113,Al2SeTe+SInGaSe-1,-0.13353984
114,Al2SeTe+SInGaSe-2,-0.12237682
115,Al2SeTe+SInGaSe-3,-0.11949217
116,Al2SeTe+SInGaTe,-0.13820366
117,Al2SeTe+SInGaTe-1,-0.12569582
118,Al2SeTe+SInGaTe-2,-0.125872
119,Al2SeTe+SInGaTe-3,-0.11602676
120,Al2SeTe+TeGaAlS,-0.11703084
121,Al2SeTe+TeGaAlS-1,-0.14018408
122,Al2SeTe+TeGaAlS-2,-0.10429619
123,Al2SeTe+TeGaAlS-3,-0.12832493
124,Al2SeTe+TeGaAlSe,-0.14159654
125,Al2SeTe+TeGaAlSe-1,-0.15326485
126,Al2SeTe+TeGaAlSe-2,-0.12995762
127,Al2SeTe+TeGaAlSe-3,-0.14377495
128,Al2SeTe+TeInAlS,-0.13047864
129,Al2SeTe+TeInAlS-1,-0.16553513
130,Al2SeTe+TeInAlS-2,-0.11934153
131,Al2SeTe+TeInAlS-3,-0.15361197
132,Al2SeTe+TeInAlSe,-0.11583891
133,Al2SeTe+TeInAlSe-1,-0.13759837
134,Al2SeTe+TeInAlSe-2,-0.10333008
135,Al2SeTe+TeInAlSe-3,-0.12627325
136,Al2SeTe+TeInGaS,-0.13071784
137,Al2SeTe+TeInGaS-1,-0.16160807
138,Al2SeTe+TeInGaS-2,-0.11659542
139,Al2SeTe+TeInGaS-3,-0.15063873
140,Al2SeTe+TeInGaSe,-0.10823076
141,Al2SeTe+TeInGaSe-1,-0.12591395
142,Al2SeTe+TeInGaSe-2,-0.09571661
143,Al2SeTe+TeInGaSe-3,-0.1143688
144,GaAlS2+GaAlS2,-0.12247679
145,GaAlS2+GaAlS2-1,-0.12122028
146,GaAlS2+GaAlS2-2,-0.12627117
147,GaAlS2+GaAlSe2,-0.03848883
148,GaAlS2+GaAlSe2-1,-0.04075297
149,GaAlS2+GaAlSe2-2,-0.03490176
150,GaAlS2+GaAlSe2-3,-0.03586391
151,GaAlS2+GaAlTe2,0.48285456
152,GaAlS2+GaAlTe2-1,0.48429737
153,GaAlS2+GaAlTe2-2,0.49177558
154,GaAlS2+GaAlTe2-3,0.49190999
155,GaAlS2+In2SeTe,0.67850447
156,GaAlS2+In2SeTe-1,0.66290509
157,GaAlS2+In2SeTe-2,0.689434
158,GaAlS2+In2SeTe-3,0.67773247
159,GaAlS2+In2SSe,0.23365945
160,GaAlS2+In2SSe-1,0.22203254
161,GaAlS2+In2SSe-2,0.23614337
162,GaAlS2+In2SSe-3,0.22465019
163,GaAlS2+In2STe,0.52506229
164,GaAlS2+In2STe-1,0.49374038
165,GaAlS2+In2STe-2,0.53214551
166,GaAlS2+In2STe-3,0.50726033
167,GaAlS2+InAlS2,-0.07250158
168,GaAlS2+InAlS2-1,-0.08473776
169,GaAlS2+InAlS2-2,-0.07031606
170,GaAlS2+InAlS2-3,-0.0795706
171,GaAlS2+InAlSe2,0.10480167
172,GaAlS2+InAlSe2-1,0.09366419
173,GaAlS2+InAlSe2-2,0.10881611
174,GaAlS2+InAlSe2-3,0.09712393
175,GaAlS2+InAlTe2,0.70051547
176,GaAlS2+InAlTe2-1,0.70624909
177,GaAlS2+InAlTe2-2,0.72726871
178,GaAlS2+InAlTe2-3,0.72536143
179,GaAlS2+InGaS2,-0.05442398
180,GaAlS2+InGaS2-1,-0.06250258
181,GaAlS2+InGaS2-2,-0.05149199
182,GaAlS2+InGaS2-3,-0.06045117
183,GaAlS2+InGaSe2,0.13641296
184,GaAlS2+InGaSe2-1,0.12629911
185,GaAlS2+InGaSe2-2,0.13901479
186,GaAlS2+InGaSe2-3,0.13040429
187,GaAlS2+InGaTe2,0.73501408
188,GaAlS2+InGaTe2-1,0.7298385
189,GaAlS2+InGaTe2-2,0.75343279
190,GaAlS2+InGaTe2-3,0.74770287
191,GaAlS2+SeGaAlS,-0.09956597
192,GaAlS2+SeGaAlS-1,-0.1142708
193,GaAlS2+SeGaAlS-2,-0.09672694
194,GaAlS2+SeGaAlS-3,-0.11061974
195,GaAlS2+SeGaAlTe,0.17968956
196,GaAlS2+SeGaAlTe-1,0.18839002
197,GaAlS2+SeGaAlTe-2,0.18275177
198,GaAlS2+SeGaAlTe-3,0.19239022
199,GaAlS2+SeInAlS,-0.00965042
200,GaAlS2+SeInAlS-1,-0.03635815
201,GaAlS2+SeInAlS-2,-0.00889007
202,GaAlS2+SeInAlS-3,-0.03054461
203,GaAlS2+SeInAlTe,0.41287613
204,GaAlS2+SeInAlTe-1,0.41033794
205,GaAlS2+SeInAlTe-2,0.41457251
206,GaAlS2+SeInAlTe-3,0.41573032
207,GaAlS2+SeInGaS,0.0180386
208,GaAlS2+SeInGaS-1,-0.00239137
209,GaAlS2+SeInGaS-2,0.02169119
210,GaAlS2+SeInGaS-3,0.00091637
211,GaAlS2+SeInGaTe,0.43274586
212,GaAlS2+SeInGaTe-1,0.43332973
213,GaAlS2+SeInGaTe-2,0.43589179
214,GaAlS2+SeInGaTe-3,0.44042023
215,GaAlS2+SGaAlSe,-0.1082258
216,GaAlS2+SGaAlSe-1,-0.0983632
217,GaAlS2+SGaAlSe-2,-0.10500408
218,GaAlS2+SGaAlSe-3,-0.09535149
219,GaAlS2+SGaAlTe,0.04598345
220,GaAlS2+SGaAlTe-1,0.06654381
221,GaAlS2+SGaAlTe-2,0.04795749
222,GaAlS2+SGaAlTe-3,0.07260231
223,GaAlS2+SInAlSe,0.01542759
224,GaAlS2+SInAlSe-1,0.01257342
225,GaAlS2+SInAlSe-2,0.01570623
226,GaAlS2+SInAlSe-3,0.01865422
227,GaAlS2+SInAlTe,0.27545782
228,GaAlS2+SInAlTe-1,0.28438112
229,GaAlS2+SInAlTe-2,0.27618252
230,GaAlS2+SInAlTe-3,0.29274449
231,GaAlS2+SInGaSe,0.03537559
232,GaAlS2+SInGaSe-1,0.03897536
233,GaAlS2+SInGaSe-2,0.03914496
234,GaAlS2+SInGaSe-3,0.04408168
235,GaAlS2+SInGaTe,0.29549336
236,GaAlS2+SInGaTe-1,0.30728004
237,GaAlS2+SInGaTe-2,0.29727598
238,GaAlS2+SInGaTe-3,0.3139676
239,GaAlS2+TeGaAlS,0.04007573
240,GaAlS2+TeGaAlS-1,0.01426093
241,GaAlS2+TeGaAlS-2,0.05020322
242,GaAlS2+TeGaAlS-3,0.02490378
243,GaAlS2+TeGaAlSe,0.17304905
244,GaAlS2+TeGaAlSe-1,0.15860027
245,GaAlS2+TeGaAlSe-2,0.17894452
246,GaAlS2+TeGaAlSe-3,0.16623637
247,GaAlS2+TeInAlS,0.13728334
248,GaAlS2+TeInAlS-1,0.10524348
249,GaAlS2+TeInAlS-2,0.15307298
250,GaAlS2+TeInAlS-3,0.12146583
251,GaAlS2+TeInAlSe,0.32231462
252,GaAlS2+TeInAlSe-1,0.30852493
253,GaAlS2+TeInAlSe-2,0.34748819
254,GaAlS2+TeInAlSe-3,0.3294179
255,GaAlS2+TeInGaS,0.2203582
256,GaAlS2+TeInGaS-1,0.17901416
257,GaAlS2+TeInGaS-2,0.22824115
258,GaAlS2+TeInGaS-3,0.19546914
259,GaAlS2+TeInGaSe,0.38048484
260,GaAlS2+TeInGaSe-1,0.35606132
261,GaAlS2+TeInGaSe-2,0.39506551
262,GaAlS2+TeInGaSe-3,0.37483006
263,GaAlSe2+GaAlSe2,-0.14024209
264,GaAlSe2+GaAlSe2-1,-0.13694559
265,GaAlSe2+GaAlSe2-2,-0.14328807
266,GaAlSe2+GaAlTe2,0.08651816
267,GaAlSe2+GaAlTe2-1,0.08499483
268,GaAlSe2+GaAlTe2-2,0.09210694
269,GaAlSe2+GaAlTe2-3,0.09134285
270,GaAlSe2+In2SeTe,0.22119297
271,GaAlSe2+In2SeTe-1,0.2119118
272,GaAlSe2+In2SeTe-2,0.22526768
273,GaAlSe2+In2SeTe-3,0.2164902
274,GaAlSe2+In2SSe,-0.04884979
275,GaAlSe2+In2SSe-1,-0.05982589
276,GaAlSe2+In2SSe-2,-0.04596027
277,GaAlSe2+In2SSe-3,-0.05689864
278,GaAlSe2+In2STe,0.12229929
279,GaAlSe2+In2STe-1,0.1000633
280,GaAlSe2+In2STe-2,0.1269871
281,GaAlSe2+In2STe-3,0.10545733
282,GaAlSe2+InAlS2,-0.11926605
283,GaAlSe2+InAlS2-1,-0.13466509
284,GaAlSe2+InAlS2-2,-0.11807358
285,GaAlSe2+InAlS2-3,-0.12995475
286,GaAlSe2+InAlSe2,-0.10507541
287,GaAlSe2+InAlSe2-1,-0.11794954
288,GaAlSe2+InAlSe2-2,-0.10155071
289,GaAlSe2+InAlSe2-3,-0.11281313
290,GaAlSe2+InAlTe2,0.24188843
291,GaAlSe2+InAlTe2-1,0.23712282
292,GaAlSe2+InAlTe2-2,0.25297775
293,GaAlSe2+InAlTe2-3,0.24270921
294,GaAlSe2+InGaS2,-0.13271516
295,GaAlSe2+InGaS2-1,-0.14279825
296,GaAlSe2+InGaS2-2,-0.13076475
297,GaAlSe2+InGaS2-3,-0.14070557
298,GaAlSe2+InGaSe2,-0.09557997
299,GaAlSe2+InGaSe2-1,-0.10560103
300,GaAlSe2+InGaSe2-2,-0.09276429
301,GaAlSe2+InGaSe2-3,-0.10149364
302,GaAlSe2+InGaTe2,0.26010215
303,GaAlSe2+InGaTe2-1,0.25199937
304,GaAlSe2+InGaTe2-2,0.26614364
305,GaAlSe2+InGaTe2-3,0.2587108
306,GaAlSe2+SeGaAlS,-0.10581426
307,GaAlSe2+SeGaAlS-1,-0.12107805
308,GaAlSe2+SeGaAlS-2,-0.10326277
309,GaAlSe2+SeGaAlS-3,-0.11747677
310,GaAlSe2+SeGaAlTe,-0.08080015
311,GaAlSe2+SeGaAlTe-1,-0.07262111
312,GaAlSe2+SeGaAlTe-2,-0.07780236
313,GaAlSe2+SeGaAlTe-3,-0.06914736
314,GaAlSe2+SeInAlS,-0.12604687
315,GaAlSe2+SeInAlS-1,-0.15284016
316,GaAlSe2+SeInAlS-2,-0.12471754
317,GaAlSe2+SeInAlS-3,-0.14787698
318,GaAlSe2+SeInAlTe,0.04689814
319,GaAlSe2+SeInAlTe-1,0.04437087
320,GaAlSe2+SeInAlTe-2,0.04970921
321,GaAlSe2+SeInAlTe-3,0.04808938
322,GaAlSe2+SeInGaS,-0.12766434
323,GaAlSe2+SeInGaS-1,-0.14932732
324,GaAlSe2+SeInGaS-2,-0.12490006
325,GaAlSe2+SeInGaS-3,-0.14581076
326,GaAlSe2+SeInGaTe,0.0557294
327,GaAlSe2+SeInGaTe-1,0.05621607
328,GaAlSe2+SeInGaTe-2,0.05989605
329,GaAlSe2+SeInGaTe-3,0.06191278
330,GaAlSe2+SGaAlSe,-0.12072155
331,GaAlSe2+SGaAlSe-1,-0.11215406
332,GaAlSe2+SGaAlSe-2,-0.1178929
333,GaAlSe2+SGaAlSe-3,-0.10964404
334,GaAlSe2+SGaAlTe,-0.1351088
335,GaAlSe2+SGaAlTe-1,-0.11278919
